mV','seconds'
7.06,0.27375
7.0517,0.274
7.0533,0.27425
7.0483,0.2745
7.0483,0.27475
7.0467,0.275
7.05,0.27525
7.0467,0.2755
7.0483,0.27575
7.045,0.276
7.0483,0.27625
7.0433,0.2765
7.045,0.27675
7.04,0.277
7.0417,0.27725
7.0383,0.2775
7.0383,0.27775
7.0417,0.278
7.04,0.27825
7.045,0.2785
7.0467,0.27875
7.0533,0.279
7.0533,0.27925
7.0767,0.2795
7.0783,0.27975
7.1433,0.28
7.145,0.28025
6.9717,0.2805
6.975,0.28075
7.0117,0.281
7.0133,0.28125
7.0333,0.2815
7.035,0.28175
7.0383,0.282
7.0383,0.28225
7.0283,0.2825
7.0267,0.28275
7.0233,0.283
7.0217,0.28325
7.0267,0.2835
7.0267,0.28375
7.0317,0.284
7.0317,0.28425
7.0333,0.2845
7.0333,0.28475
7.0283,0.285
7.03,0.28525
7.0267,0.2855
7.0267,0.28575
7.0183,0.286
7.0183,0.28625
7.0083,0.2865
7.0083,0.28675
6.9983,0.287
6.9983,0.28725
6.9583,0.2875
6.955,0.28775
6.8767,0.288
6.8733,0.28825
6.8583,0.2885
6.865,0.28875
6.9717,0.289
6.975,0.28925
7.0567,0.2895
7.0583,0.28975
7.0783,0.29
7.075,0.29025
7.045,0.2905
7.045,0.29075
7.0217,0.291
7.02,0.29125
7.01,0.2915
7.01,0.29175
7.005,0.292
7.005,0.29225
7.0067,0.2925
7.0083,0.29275
7.0133,0.293
7.015,0.29325
7.0183,0.2935
7.0167,0.29375
7.02,0.294
7.02,0.29425
7.025,0.2945
7.025,0.29475
7.0183,0.295
7.0167,0.29525
7.0067,0.2955
7.005,0.29575
6.9967,0.296
6.9967,0.29625
7.0017,0.2965
7.0017,0.29675
7.0133,0.297
7.0133,0.29725
7.02,0.2975
7.02,0.29775
7.0367,0.298
7.0367,0.29825
7.065,0.2985
7.0667,0.29875
7.09,0.299
7.08,0.29925
7.0167,0.2995
7.03,0.29975
7.2183,0.3
7.0133,0.30025
7.2267,0.3005
